,OPEN,HIGH,LOW,CLOSE,VWAP,VOLUME,AMT,TURN,TOTAL_SHARES,FREE_FLOAT_SHARES,MKT_CAP_ARD,MKT_FREESHARES,PE_TTM,VAL_PB_WGT,DIVIDENDYIELD2
2009-05-07,2783.577,2797.474,2731.799,2767.076,11.21740562900954,12210116100.0,136965825071.00002,2.7028,1962163007514.0,359914234368.0,16817762808526.0,4177090382209.6895,24.062299728393555,2.7385,1.6456
2009-05-08,2751.499,2800.223,2733.332,2789.219,11.325667488105037,10672498800.0,120873172676.0,2.3592,1962163007514.0,360175247339.00006,17027757043336.0,4212152269498.888,24.36319923400879,2.7729,1.6266
2009-05-11,2808.139,2839.609,2725.267,2725.316,11.203794027113842,12536445200.0,140455749853.0,2.767,1962676568615.0,360951791041.0,16757429386436.998,4130699618983.851,23.97929954528809,2.7292,1.6466
2009-05-12,2702.742,2788.612,2699.954,2788.562,10.532777061435349,8869594200.0,93421458334.0,1.9539,1962797268615.0,363098669137.0,16984628489516.0,4276469189008.589,24.304399490356445,2.7663,1.6222
2009-05-13,2792.42,2822.711,2775.572,2814.005,11.542774805015002,10711285600.0,123637957553.0,2.3592,1962797319947.0,363728310726.0,17274034984358.0,4314056204931.371,24.721099853515625,2.8134,1.5924
2009-05-14,2781.048,2804.477,2757.545,2792.597,11.635634279411924,8263932900.0,96156100934.0,1.8202,1962797319947.0,363728310726.0,17086341919057.0,4282930798026.0586,24.45249938964844,2.783,1.5602
2009-05-15,2800.571,2815.456,2773.322,2796.116,11.546493576739438,6493143100.0,74973035097.0,1.4301,1962854343551.0,363816504684.0,17113188840896.0,4290387126783.8574,24.49099922180176,2.7875,1.5588
2009-05-18,2782.585,2813.757,2740.92,2810.573,11.82309912426122,7483578600.0,88479091592.0,1.6433,1964715350760.0,365168990928.0,17143084850873.0,4325206710364.737,24.533700942993164,2.7927,1.5484
2009-05-19,2836.337,2849.629,2821.951,2840.084,11.928236947051817,9770361700.0,116543189416.0,2.0949,1965249529260.0,378536055376.00006,17292358532777.0,4458219938781.23,24.74740028381348,2.8176,1.5452
2009-05-20,2843.545,2849.635,2812.599,2812.865,11.95668664053915,8793921500.0,105146163717.0,1.8826,1965249529260.0,379252811411.0,17128498108532.0,4420518183831.449,24.51289939880371,2.791,1.56
